Source List,Source Row,Supplier Name,Supplier Ref,Barcode,Brand,Range,Product Name,Public Product Description,Variant,Category,Supplier Category,Public Spec,Pack,Unit Size,Volume ML,PCS/Case,Unit Type,Buy Price,Buy Price Unit,Currency,Price Type,Margin %,Sell Price Per Case,Sell Price Per Unit,Price Display,Price Per Unit & Case,Stock Display,Stock Cases,MOQ,Incoterm,Public Terms,Origin Country,Warehouse,BBD,Offer Expiry,Public Listing,Featured,Supplier Remarks,Review,Notes
LOREAL_GARNIER,956,PT. Surya Graha Pasaraya,P9282875,6902395682875,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-RULER,Maybelline Superstay Matte Ink-Ruler,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,957,PT. Surya Graha Pasaraya,P9282943,6902395682943,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-HEROINE,Maybelline Superstay Matte Ink-Heroine,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,958,PT. Surya Graha Pasaraya,P9282950,6902395682950,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-15 LOVER,Maybelline Superstay Matte Ink-15 Lover,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,959,PT. Surya Graha Pasaraya,P9282998,6902395682998,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-VOYAGE,Maybelline Superstay Matte Ink-Voyage,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,960,PT. Surya Graha Pasaraya,P9247718,41554247718,Maybelline,Maybelline,MYB CONCEALER FIT ME-LIGHT,Maybelline Concealer Fit Me-Light,,Toiletries,Makeup,72,72 x piece,,,72,Piece,374.6,5.2028,USD,Per Case,5.0,393.33,5.46,USD 393.33,USD 393.33/case (72pk) · USD 5.46/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,961,PT. Surya Graha Pasaraya,P9247701,41554247701,Maybelline,Maybelline,MYB FIT ME CONCEAL,Maybelline Fit Me Conceal,,Toiletries,Makeup,72,72 x piece,,,72,Piece,374.6,5.2028,USD,Per Case,5.0,393.33,5.46,USD 393.33,USD 393.33/case (72pk) · USD 5.46/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,962,PT. Surya Graha Pasaraya,P9247725,41554247725,Maybelline,Maybelline,MYB FIT ME CONCEALER MEDIUM,Maybelline Fit Me Concealer Medium,,Toiletries,Makeup,72,72 x piece,,,72,Piece,374.6,5.2028,USD,Per Case,5.0,393.33,5.46,USD 393.33,USD 393.33/case (72pk) · USD 5.46/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,963,PT. Surya Graha Pasaraya,P9247732,41554247732,Maybelline,Maybelline,MYB FIT ME CONCEALER SAND,Maybelline Fit Me Concealer Sand,,Toiletries,Makeup,72,72 x piece,,,72,Piece,374.6,5.2028,USD,Per Case,5.0,393.33,5.46,USD 393.33,USD 393.33/case (72pk) · USD 5.46/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,965,PT. Surya Graha Pasaraya,L70835,6902395970835,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM NUDE 601 LIPSTK AS X,L'Oreal Paris Color Riche Slim Nude 601 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,966,PT. Surya Graha Pasaraya,L70842,6902395970842,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM NUDE 520 LIPSTK AS X,L'Oreal Paris Color Riche Slim Nude 520 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,967,PT. Surya Graha Pasaraya,L70859,6902395970859,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM NUDE 540 LIPSTK AS X,L'Oreal Paris Color Riche Slim Nude 540 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,968,PT. Surya Graha Pasaraya,L70873,6902395970873,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM NUDE 570 LIPSTK AS X,L'Oreal Paris Color Riche Slim Nude 570 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,969,PT. Surya Graha Pasaraya,L70880,6902395970880,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM NUDE 590 LIPSTK OS AS X,L'Oreal Paris Color Riche Slim Nude 590 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,970,PT. Surya Graha Pasaraya,L04726,3600524104726,L'Oreal Paris,L'Oreal Cosmetics,LOR MU INFA SET SPRAY AE75ML 260,L'Oreal Paris Infallible Set Spray Ae75Ml 260,,Toiletries,Makeup,6 x 75ml,6 x 75ml,75ml,75.0,6,Piece,25.66,4.2767,USD,Per Case,5.0,26.94,4.49,USD 26.94,USD 26.94/case (6pk) · USD 4.49/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,,
LOREAL_GARNIER,971,PT. Surya Graha Pasaraya,L88501,30188501,L'Oreal Paris,L'Oreal Cosmetics,OAP GLTN BLUSH GLWY GOLD PINK 625,L'Oreal Paris GLTN Blush GLWY Gold Pink 625,,Toiletries,Makeup,3,3 x piece,,,3,Piece,17.86,5.9519,USD,Per Case,5.0,18.75,6.25,USD 18.75,USD 18.75/case (3pk) · USD 6.25/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,"no unit size on the supplier line; name codes: GLTN, GLWY",
LOREAL_GARNIER,972,PT. Surya Graha Pasaraya,L88556,30188556,L'Oreal Paris,L'Oreal Cosmetics,OAP GLTN BLUSH GLWY WORHTIT MED 635,L'Oreal Paris GLTN Blush GLWY Worhtit MED 635,,Toiletries,Makeup,3,3 x piece,,,3,Piece,17.86,5.9519,USD,Per Case,5.0,18.75,6.25,USD 18.75,USD 18.75/case (3pk) · USD 6.25/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,"no unit size on the supplier line; name codes: GLTN, GLWY, MED",
LOREAL_GARNIER,973,PT. Surya Graha Pasaraya,L88532,30188532,L'Oreal Paris,L'Oreal Cosmetics,OAP GLTN BLUSH GLWY TRUE ROSE 630,L'Oreal Paris GLTN Blush GLWY TRUE Rose 630,,Toiletries,Makeup,3,3 x piece,,,3,Piece,17.86,5.9519,USD,Per Case,5.0,18.75,6.25,USD 18.75,USD 18.75/case (3pk) · USD 6.25/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,"no unit size on the supplier line; name codes: GLTN, GLWY, TRUE",
LOREAL_GARNIER,974,PT. Surya Graha Pasaraya,L71351,6902395971351,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM MATTE 129 LIPSTK V2 AS X,L'Oreal Paris Color Riche Slim Matte 129 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,975,PT. Surya Graha Pasaraya,L71375,6902395971375,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM MATTE 276 LIPSTK V2 AS X,L'Oreal Paris Color Riche Slim Matte 276 Lipstick,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,976,PT. Surya Graha Pasaraya,L71405,6902395971405,L'Oreal Paris,L'Oreal Cosmetics,LOR MU CR SLIM NEIWAI LIPSTK 610 V2 AS X,L'Oreal Paris Color Riche Slim Neiwai Lipstick 610,,Toiletries,Makeup,99,99 x piece,,,99,Piece,554.2,5.598,USD,Per Case,5.0,581.91,5.88,USD 581.91,USD 581.91/case (99pk) · USD 5.88/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
